"","X","Unique.Id","indicator_id","geo_type_id","measurement_type_id","internal_id","subtopic_id","name","Measure","geo_type_name","description","geo_entity_id","geo_entity_name","year_description","data_value","lon","lat","Address","zipcode"
"1",1,410722,365,1,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","Borough","Borough",1,"Bronx","Annual Average 2016",7.75,-73.8648268,40.8447819,"60 Metropolitan Oval, Bronx, NY 10462, USA","10462"
"2",2,410725,365,1,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","Borough","Borough",2,"Brooklyn","Annual Average 2016",7.76,-73.9441579,40.6781784,"58 Brooklyn Ave, Brooklyn, NY 11216, USA","11216"
"3",3,410728,365,1,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","Borough","Borough",3,"Manhattan","Annual Average 2016",8.97,-73.9712488,40.7830603,"225 Central Park West, New York, NY 10024, USA","10024"
"4",4,410731,365,1,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","Borough","Borough",4,"Queens","Annual Average 2016",7.17,-73.7948516,40.7282239,"7424 175th St, Fresh Meadows, NY 11366, USA","11366"
"5",5,410734,365,1,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","Borough","Borough",5,"Staten Island","Annual Average 2016",6.84,-74.1502007,40.5795317,"579 Richmond Hill Rd, Staten Island, NY 10306, USA","10306"
"6",6,410737,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",101,"Kingsbridge - Riverdale","Annual Average 2016",7.5,-73.9024298,40.883563,"3450 Kingsbridge Ave, Bronx, NY 10463, USA","10463"
"7",7,410740,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",102,"Northeast Bronx","Annual Average 2016",7.55,-73.8648268,40.8447819,"60 Metropolitan Oval, Bronx, NY 10462, USA","10462"
"8",8,410743,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",103,"Fordham - Bronx Pk","Annual Average 2016",7.57,-73.8945473,40.8648137,"Poe Park, Grand Concourse bet. E. 192 St. and, E Kingsbridge Rd, Bronx, NY 10458, United States","10458"
"9",9,410746,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",104,"Pelham - Throgs Neck","Annual Average 2016",7.5,-73.8053262,40.8119378,"140 Pennyfield Ave, Bronx, NY 10465, USA","10465"
"10",10,410749,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",105,"Crotona -Tremont","Annual Average 2016",8.18,-73.8904307,40.8462275,"1975 Crotona Ave, Bronx, NY 10457, USA","10457"
"11",11,410752,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",106,"High Bridge - Morrisania","Annual Average 2016",8.16,-73.9286734,40.8367117,"1155 University Ave, Bronx, NY 10452, USA","10452"
"12",12,410755,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",107,"Hunts Point - Mott Haven","Annual Average 2016",8.26,-73.9228881,40.8091068,"236e Willis Ave, Bronx, NY 10454, USA","10454"
"13",13,410758,365,3,104,2023,122,"Fine Particulate Matter (PM2.5)","Mean","UHF42","Neighborhood (UHF 42)",201,"Greenpoint","Annual Average 2016",9.46,-73.9515032,40.7304701,"210 Greenpoint Ave, Brooklyn, NY 11222, USA","11222"
